mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
8.88093868891398,0.02676849898575598,0.1893771489461263,0.033918433601671565,10,2,100,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.7446271095513971,0.7340230341343243,0.7419009692163229,0.7401837043006815,0.004496172665398235,10
16.744463046391804,0.1414854034065568,0.3350512981414795,0.13180082484728126,10,2,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.7457278572322139,0.7359033592710659,0.7432115411761506,0.7416142525598102,0.004166828389400318,7
8.77714435259501,0.4325740491303665,0.09406391779581706,0.004722047885757381,10,5,100,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.7454326827500667,0.7370954131831794,0.7436091859443422,0.7420457606258628,0.003578709264766018,6
16.103155930836994,0.127795830452949,0.29364506403605145,0.0926362829449538,10,5,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7470553756670927,0.7378631057883436,0.7445664885982874,0.7431616566845746,0.0038819772376354087,5
12.68280029296875,0.21910958563173,0.2805639902750651,0.07242029244908696,20,2,100,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.7439581294251837,0.7317359832167232,0.7431817167053222,0.7396252764490763,0.005587570429529629,11
25.16465671857198,0.2039043801534658,0.804717222849528,0.07952360683775078,20,2,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.7451816813200126,0.7332607297702934,0.7454748388619535,0.7413057499840865,0.005689947159470743,9
12.842655738194784,0.0720629254919018,0.3090537389119466,0.08669911010662264,20,5,100,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.7502674848553391,0.7384300756313398,0.7495450179244408,0.7460808594703733,0.005417955311140427,4
24.726469039916992,0.16770418414536004,0.7387549082438151,0.07793510369762661,20,5,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7515632100340108,0.7395028512766669,0.7522904029646204,0.747785488091766,0.0058642281019589985,2
13.274976332982382,0.4490484555504963,0.4052573045094808,0.0197591059365946,,2,100,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.7443494320795558,0.7292399410023281,0.7368387507181844,0.7368093746000227,0.00616845887670735,12
23.674105008443195,1.5444925968958474,0.5726483662923177,0.13694381045819037,,2,200,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.74877098436621,0.734402936134898,0.7410502669949082,0.7414080624986722,0.0058711847589853145,8
13.142607768376669,0.11765241964337986,0.34415658315022785,0.05911505461205921,,5,100,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.7540652764822376,0.7405120849991976,0.7448593813068558,0.7464789142627636,0.005650334213739981,3
15.460429032643637,3.2935867980847795,0.19398323694864908,0.02865956281235511,,5,200,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7551192073935706,0.7418570407382604,0.7488596642028806,0.7486119707782373,0.005417089016729939,1
