,correct,false_positive,false_negative,fp_vs_correct,fn_vs_correct
profanity_count,-0.008275424701649242,-0.01019291816765346,-0.03351807321025918,-0.0019174934660042171,-0.02524264850860994
vader_neg,-0.10688796306452764,1.0901582498172142,-0.009514936845363238,1.1970462128817418,0.0973730262191644
word_count,0.021955666693847898,-0.1768867061589782,-0.15687720525431875,-0.1988423728528261,-0.17883287194816666
second_person_density,-0.07755619111394847,0.7901461548473939,0.09834089917155751,0.8677023459613424,0.17589709028550599
sentence_count,0.0020695793254761055,-0.046350195677508296,-0.07834709609057408,-0.0484197750029844,-0.08041667541605019
vader_compound,0.07605216625359845,-0.7643807848453185,-0.2053035336498575,-0.8404329510989169,-0.281355699903456
elongated_token_count,-0.004901098069552676,0.017806294680024887,-0.023423847911931087,0.022707392749577563,-0.01852274984237841
slang_count,-0.008145497161801662,0.0498413600289987,-0.0017982389520072122,0.057986857190800364,0.00634725820979445
uppercase_ratio,-0.03526131266486893,0.3077933642317655,-0.06225455271442397,0.34305467689663444,-0.026993240049555042
vader_pos,0.0048768289712909285,-0.05133961926361773,-0.02935454357657171,-0.05621644823490866,-0.03423137254786264
avg_sentence_length,0.009716538318178664,-0.05785744730248886,0.022663969842741296,-0.06757398562066752,0.012947431524562632
second_person_count,-0.011888012621784952,0.09341345371896559,-0.02819165140319583,0.10530146634075054,-0.016303638781410876
identity_sexuality,-0.040837950994851754,0.49329388514125394,-0.09823823542745559,0.5341318361361057,-0.05740028443260384
vader_pos_minus_neg,0.07382022156382109,-0.7539227422846521,-0.012503288596250718,-0.8277429638484731,-0.08632351016007181
vader_is_negative,-0.07645181479442852,0.796648453855983,0.12481487099251312,0.8731002686504116,0.20126668578694162
char_count,0.022028274369506964,-0.17767505872649017,-0.16687700737895436,-0.19970333309599714,-0.18890528174846133
unique_word_ratio,-0.026759628902288172,0.3026601197758231,0.08728212014487083,0.32941974867811125,0.114041749047159
identity_gender,-0.019496031757759217,0.18181400300961287,0.006494954232059695,0.20131003476737208,0.025990985989818912
url_count,0.007137651091265305,-0.06721733134486459,-0.04389208765516192,-0.0743549824361299,-0.051029738746427224
consecutive_punct_count,0.006347062913218947,-0.07918826611176617,-0.04541185640687972,-0.08553532902498512,-0.05175891932009866
